Tissue,a-ketoglutarate,alanine,arginine,asparagine,aspartate,citrate,fumarate,glutamate,glutamine,glycine,histidine,isoleucine,lactate,leucine,lysine,malate,methionine,phenylalanine,proline,pyruvate,serine,succinate,threonine,tryptophan,tyrosine,valine
Heart,112.68,14372.32,177.63,231.87,1366.83,570.67,161.82,4656.08,4720.62,516.99,438.90,74.88,8824.05,106.61,432.35,844.58,49.92,57.46,66.21,127.62,278.35,842.93,240.72,19.68,52.84,160.43
Heart,143.74,14836.41,245.47,266.61,1381.46,611.10,172.27,5267.89,5001.52,554.20,496.93,73.32,9606.66,118.03,653.81,884.98,84.07,85.80,102.34,99.51,373.24,1058.64,356.93,23.75,99.40,170.70
Heart,164.97,15624.69,267.42,283.13,1557.37,622.46,177.09,5167.93,5198.43,638.74,402.76,83.75,10413.35,130.79,594.02,863.60,63.45,71.94,98.59,181.94,359.96,876.19,331.58,26.04,73.41,189.06
Quad,59.38,10039.13,256.29,112.97,224.84,226.35,12.56,943.06,1290.47,1798.02,138.24,83.59,3154.39,126.80,648.66,68.89,44.30,74.72,188.81,1663.11,205.32,85.21,171.31,18.99,56.50,204.13
Quad,93.26,14981.35,247.34,154.51,215.33,228.88,11.10,815.33,1497.38,3220.13,734.01,80.40,1738.56,96.83,774.88,64.97,50.30,76.14,246.32,778.27,334.49,106.93,262.15,17.41,89.31,225.41
Quad,107.56,19303.17,348.56,155.69,206.20,238.02,20.53,663.98,1436.40,3355.32,611.83,79.35,4771.97,110.27,1148.69,115.29,69.46,73.30,270.49,2140.31,316.65,160.98,307.20,21.28,129.02,235.14
Quad,92.93,18057.22,447.20,148.17,200.85,232.56,14.66,705.24,1285.94,3408.89,578.65,73.22,3033.60,97.65,1256.44,85.94,47.50,69.67,269.51,1395.81,343.20,115.64,251.82,21.58,88.48,242.51
BAT,46.14,1965.93,59.46,74.88,293.90,274.01,42.25,1018.19,906.26,344.87,59.63,60.94,1346.24,102.49,121.29,188.11,26.90,50.45,74.14,272.75,156.34,323.86,139.97,21.29,37.86,125.45
BAT,69.97,2982.27,44.43,102.92,380.72,245.26,57.35,983.27,854.37,407.45,163.79,60.29,1957.65,97.87,111.71,265.29,31.92,48.70,80.79,428.21,205.06,823.67,192.39,20.21,47.17,126.58
BAT,90.16,5310.07,103.75,128.24,303.42,216.55,31.18,1364.74,1136.10,741.97,217.58,94.55,2633.45,154.49,281.23,167.10,60.97,79.30,155.98,593.58,308.61,558.05,310.62,32.30,110.95,205.57
BAT,88.98,3933.67,78.63,108.47,673.51,277.05,61.02,1156.36,730.73,575.42,154.74,73.93,1959.46,119.80,177.51,293.43,39.07,59.69,105.41,675.09,204.01,864.71,196.55,26.42,66.66,163.60
Soleus,164.82,8830.95,166.09,125.35,343.31,506.18,41.44,4334.70,3264.68,713.92,209.06,76.82,2147.37,112.45,398.24,215.08,32.66,58.63,86.84,375.54,261.30,74.22,197.54,15.66,43.59,171.44
Soleus,270.08,20673.02,135.75,175.04,1091.43,441.79,63.14,4171.56,2943.38,812.18,520.93,70.85,3052.81,86.04,453.63,330.19,42.34,78.29,86.92,560.16,315.55,173.60,236.77,14.86,71.53,184.09
Soleus,221.14,18248.35,190.22,196.63,2462.46,390.77,93.81,2686.22,2526.05,790.01,479.70,72.48,2833.47,100.74,611.27,501.06,65.75,70.51,124.80,717.46,374.81,183.29,302.36,17.03,115.98,187.89
Soleus,218.93,18785.52,180.17,183.07,1992.65,354.46,95.38,3141.48,2557.69,784.09,449.51,71.27,3781.88,97.01,555.50,525.48,61.26,60.67,123.48,698.18,370.55,181.01,277.40,17.02,95.59,191.78
Diaphragm,224.93,7328.15,117.06,103.31,560.15,875.29,73.47,2709.01,2034.22,566.84,134.46,66.65,1481.58,97.30,273.95,350.48,27.82,55.25,70.49,319.12,162.01,65.96,144.26,17.45,36.34,136.54
Diaphragm,222.71,17707.73,74.53,149.40,845.64,613.64,135.52,2917.90,2233.36,789.99,375.40,79.56,3978.74,103.55,249.58,647.48,39.51,77.32,70.20,791.88,208.34,243.68,196.61,19.98,58.73,186.57
Diaphragm,237.47,21062.92,142.28,182.81,1136.87,497.27,165.59,3599.49,2533.94,1146.68,450.54,84.20,5803.09,117.78,504.82,854.96,79.50,71.19,135.78,1163.71,293.02,301.16,294.89,22.37,116.95,214.58
Diaphragm,275.29,18410.67,123.94,155.74,1079.97,560.62,132.62,3951.00,2271.71,956.49,338.20,79.25,3742.59,101.86,341.54,742.02,55.33,68.13,108.76,701.90,275.91,225.38,249.94,22.26,76.64,220.25
