Compound,C_Label,Control_100ppm_1,Control_100ppm_2,Control_100ppm_3,Control_500ppm_1,Control_500ppm_2,Control_500ppm_3,Insulin_100ppm_1,Insulin_100ppm_2,Insulin_100ppm_3,Insulin_500ppm_1,Insulin_500ppm_2,Insulin_500ppm_3
Palmitoyl carnitine C16 (1),1,9.67E-05,0.000873783,0,0,0,0.00031359,0,0,8.42E-05,2.27E-05,0,0
Palmitoyl carnitine C16 (1),2,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),3,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),4,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),5,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),6,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),7,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),8,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),9,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),10,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),11,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),12,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),13,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),14,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),15,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),16,0.971246908,0.969364431,0.966414871,0.982920423,0.981408937,0.98550787,0.982380115,0.977772998,0.98164083,0.990808589,0.992333222,0.988294443
Palmitoyl carnitine C16 (1),17,0.00039574,0,0.006165651,0.00323467,0.004396274,2.13E-05,0.000430604,0.004196162,0,0.000930691,3.44E-05,0.003226653
Palmitoyl carnitine C16 (1),18,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),19,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),20,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),21,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),22,0,0,0,0,0,0,0,0,0,0,0,0
Palmitoyl carnitine C16 (1),23,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),0,0.817669682,0.778494754,0.818870758,0.751252378,0.746835839,0.769574506,0.840069684,0.831637244,0.827239008,0.817445216,0.832030892,0.816127184
Propionyl carnitine C3 (1),1,0.135239205,0.148756859,0.134194096,0.166453532,0.17608165,0.152132551,0.152164044,0.153597498,0.161395266,0.167000127,0.14933249,0.165809146
Propionyl carnitine C3 (1),2,0.021663746,0.031647633,0.020166812,0.035247485,0.029061624,0.032264335,0.007596532,0.013263998,0.009801911,0.009754008,0.014921423,0.015231078
Propionyl carnitine C3 (1),3,0.025427367,0.041100754,0.026768334,0.047046605,0.048020887,0.046028609,0.000169739,0.00150126,0.001563815,0.005800649,0.003715195,0.002832592
Propionyl carnitine C3 (1),4,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),5,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),6,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),7,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),8,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),9,0,0,0,0,0,0,0,0,0,0,0,0
Propionyl carnitine C3 (1),10,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),0,0.035109616,0.066737852,0.011473908,0.024440142,0.009677433,0,0.029766593,0.021716458,0.013714671,0,0.035430925,0
decenoylcarnitine (1),1,0,0.001620263,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),4,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),5,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),6,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),7,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),8,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),9,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),10,0.964890384,0.931641885,0.988526092,0.975559858,0.990322567,1,0.970233407,0.978283542,0.986285329,1,0.964569075,1
decenoylcarnitine (1),11,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),12,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),13,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),14,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),15,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),16,0,0,0,0,0,0,0,0,0,0,0,0
decenoylcarnitine (1),17,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),0,0.459239935,0.516672922,0.457507236,0.380691581,0.348143124,0.350799082,0.407584874,0.446473584,0.46367708,0.290552074,0.291854583,0.27327248
Oleoylcarnitine (1),1,0,0,0,0,0,0,0,0,0,0.000374334,0.007914185,0
Oleoylcarnitine (1),2,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),3,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),4,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),5,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),6,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),7,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),8,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),9,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),10,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),11,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),12,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),13,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),14,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),15,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),16,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),17,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),18,0.540760065,0.483327078,0.542492764,0.619308419,0.651856876,0.649200918,0.592415126,0.553526416,0.53632292,0.709073593,0.700231232,0.72672752
Oleoylcarnitine (1),19,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),20,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),21,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),22,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),23,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),24,0,0,0,0,0,0,0,0,0,0,0,0
Oleoylcarnitine (1),25,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),0,0.985754585,1,0.970138116,0.96172334,0.972307647,1,0.981622109,0.98295314,0.973159831,0.985248193,1,0.987548801
NADH (1),1,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),2,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),3,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),4,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),5,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),6,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),7,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),8,0,0,0,0,0.011515403,0,0,0,0,0,0,0
NADH (1),9,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),10,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),11,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),12,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),13,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),14,0,0,0,0,0,0,0,0,0,0,0,0
NADH (1),15,0,0,0,0,0,0,0,0,0,0,0,0
